date;seconds;direction;bid;ask;price
26/03/2001;60209;-1;65.95;66.10;65.95
26/03/2001;60244;-1;65.95;66.05;66.00
26/03/2001;60276;1;66.00;66.10;66.10
26/03/2001;60277;-1;66.10;66.15;66.02
26/03/2001;60299;-1;66.05;66.15;66.05
26/03/2001;60381;1;65.90;66.00;66.00
26/03/2001;60383;1;65.90;66.00;66.00
26/03/2001;60386;1;65.90;66.00;66.00
26/03/2001;60390;1;65.90;66.00;66.00
26/03/2001;60416;1;65.95;66.00;66.00
26/03/2001;60526;-1;65.85;65.90;65.85
26/03/2001;60564;-1;65.85;65.90;65.85
26/03/2001;60717;-1;65.85;65.90;65.85
26/03/2001;60736;-1;65.85;65.90;65.83
26/03/2001;60832;-1;65.65;65.85;65.59
26/03/2001;60919;-1;65.50;65.85;65.50
26/03/2001;60949;-1;65.50;65.80;65.50
26/03/2001;60957;-1;65.50;65.80;65.50
26/03/2001;60975;1;65.55;65.80;65.80
26/03/2001;60983;-1;65.55;65.80;65.55
26/03/2001;60985;-1;65.55;65.80;65.55
26/03/2001;60992;-1;65.55;65.70;65.55
26/03/2001;60996;-1;65.55;65.70;65.55
26/03/2001;61027;-1;65.65;65.90;65.50
26/03/2001;61053;-1;65.50;65.85;65.50
26/03/2001;61094;-1;65.70;65.85;65.70
26/03/2001;61103;-1;65.70;65.85;65.70
26/03/2001;61176;-1;65.75;65.80;65.70
26/03/2001;61239;1;65.70;65.75;65.75
26/03/2001;61291;-1;65.70;65.75;65.60
26/03/2001;61344;-1;65.60;65.70;65.60
26/03/2001;61352;-1;65.60;65.70;65.60
26/03/2001;61355;-1;65.60;65.65;65.60
26/03/2001;61366;-1;65.60;65.65;65.60
26/03/2001;61393;-1;65.60;65.65;65.54
26/03/2001;61399;1;65.50;65.65;65.66
26/03/2001;61405;-1;65.50;65.85;65.50
26/03/2001;61516;1;65.55;65.80;65.80
26/03/2001;61783;1;65.80;65.85;65.85
26/03/2001;61817;1;65.70;65.85;65.85
26/03/2001;61867;1;65.80;65.90;65.90
26/03/2001;61875;1;65.80;65.90;65.93
26/03/2001;61901;1;65.80;65.95;65.95
26/03/2001;61908;1;65.85;65.95;65.95
26/03/2001;61937;1;65.90;65.95;65.95
26/03/2001;61969;1;65.90;65.95;65.95
26/03/2001;61971;1;65.90;65.95;65.95
26/03/2001;62002;1;65.95;66.00;66.00
26/03/2001;62062;1;65.95;66.00;66.00
26/03/2001;62083;1;65.95;66.00;66.00
26/03/2001;62085;1;65.95;66.00;66.00
26/03/2001;62087;1;65.95;66.20;66.20
26/03/2001;62105;-1;66.00;66.20;66.00
26/03/2001;62107;1;66.00;66.20;66.20
26/03/2001;62109;1;66.00;66.20;66.20
26/03/2001;62168;-1;66.15;66.20;66.15
26/03/2001;62211;-1;66.10;66.20;66.10
26/03/2001;62271;1;66.05;66.10;66.13
26/03/2001;62358;-1;66.15;66.20;66.15
26/03/2001;62362;1;66.15;66.20;66.20
26/03/2001;62391;1;66.15;66.20;66.20
26/03/2001;62395;1;66.15;66.20;66.20
26/03/2001;62408;1;66.20;66.25;66.25
26/03/2001;62417;1;66.25;66.30;66.30
26/03/2001;62458;1;66.35;66.50;66.50
26/03/2001;62468;1;66.35;66.50;66.50
26/03/2001;62482;1;66.45;66.50;66.50
26/03/2001;62520;1;66.45;66.50;66.53
26/03/2001;62565;1;66.55;66.60;66.60
26/03/2001;62566;1;66.55;66.60;66.60
26/03/2001;62576;1;66.60;66.70;66.75
26/03/2001;62608;-1;66.65;66.75;66.65
26/03/2001;62689;1;66.65;66.75;66.75
26/03/2001;62699;1;66.70;66.75;66.75
26/03/2001;62702;-1;66.70;66.75;66.70
26/03/2001;62707;1;66.65;66.70;66.70
26/03/2001;62716;1;66.65;66.70;66.70
26/03/2001;62730;-1;66.65;66.70;66.65
26/03/2001;62798;-1;66.45;66.60;66.45
26/03/2001;62811;-1;66.30;66.60;66.30
26/03/2001;62831;-1;66.40;66.60;66.31
26/03/2001;62902;-1;66.05;66.50;66.00
26/03/2001;62970;1;66.30;66.35;66.35
26/03/2001;62973;-1;66.30;66.35;66.19
26/03/2001;62987;-1;66.15;66.35;66.15
26/03/2001;62988;1;66.15;66.30;66.30
26/03/2001;62993;1;66.20;66.30;66.30
27/03/2001;33015;1;65.45;65.75;65.77
27/03/2001;33059;-1;65.45;66.00;65.45
27/03/2001;33084;-1;65.45;66.00;65.45
