date;time;price;q;direction
19/09/2003;105743;137.2;151;1
19/09/2003;105743;137.2;867;1
19/09/2003;105744;137.2;8;-1
19/09/2003;105745;137.2;263;-1
19/09/2003;105748;137.2;1057;-1
19/09/2003;105749;137.3;6;1
19/09/2003;105752;137.2;565;-1
19/09/2003;105758;137.3;151;1
19/09/2003;105800;137.3;9;1
19/09/2003;105813;137.3;151;1
19/09/2003;105828;137.3;151;1
19/09/2003;105829;137.3;408;1
19/09/2003;105836;137.3;1190;1
19/09/2003;105843;137.4;151;1
19/09/2003;105858;137.4;151;1
19/09/2003;105909;137.3;40;-1
19/09/2003;105913;137.4;151;1
19/09/2003;105926;137.3;38;-1
19/09/2003;105927;137.4;1450;1
19/09/2003;105928;137.4;151;1
19/09/2003;105930;137.3;50;-1
19/09/2003;105932;137.4;1465;1
19/09/2003;105933;137.4;3043;1
19/09/2003;105935;137.4;168;1
19/09/2003;105937;137.5;1300;1
19/09/2003;105943;137.5;151;1
19/09/2003;105944;137.4;200;-1
19/09/2003;105947;137.4;27;1
19/09/2003;105956;137.4;14;1
19/09/2003;105958;137.4;250;-1
19/09/2003;110004;137.5;3;1
19/09/2003;110007;137.5;376;1
19/09/2003;110010;137.5;500;1
19/09/2003;110013;137.5;110;1
19/09/2003;110032;137.5;11;1
19/09/2003;110036;137.5;298;1
19/09/2003;110042;137.5;180;1
19/09/2003;110054;137.5;300;1
19/09/2003;110055;137.5;406;1
19/09/2003;110056;137.4;350;-1
19/09/2003;110057;137.5;60;1
19/09/2003;110058;137.4;73;-1
19/09/2003;110136;137.4;500;-1
19/09/2003;110138;137.31202;940;-1
19/09/2003;110153;137.4;2500;1
19/09/2003;110155;137.5;750;1
19/09/2003;110205;137.4;20;-1
19/09/2003;110216;137.4;26;-1
19/09/2003;110255;137.5;31;1
